This is the progress list of Cosmos | Updated on: 2019-04-28


ARTIFICIAL INTELLIGENCE                                                        Ada                           BrainFuck                                   C                                 C++                             Clojure                               Crisp                              Elixir                                 Elm                              Erlang                             Fortran                              Golang                                HTML                             Haskell                                Java                          JavaScript                               Julia                    Jupyter Notebook                              Kotlin                                 Lua                                  ML                                 Nim                         Objective-C                                 PHP                                Perl  Processing Development Environment                          PureScript                              Python                              Racket                              Reason                                Ruby                                Rust                               Scala                        Shell Script                         Standard ML                               Swift                          TypeScript                        Visual Basic                           Visual C#                           Visual F#  
----------------------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- ----------------------------------- 
a star                                                                           .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
artificial neural network                                                        .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
autoenncoder                                                                     .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
canny                                                                            .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
convolutional neural network                                                     .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
dbscan clustering                                                                .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
decision tree                                                                    .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
erode dilate                                                                     .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
factorization machines                                                           .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
gaussian naive bayes                                                             .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
gbestPSO                                                                         .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
hierachical clustering                                                           .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
houghtransform                                                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
image processing                                                                 .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .  
image stitching                                                                  .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
isodata clustering                                                               .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
k means                                                                          .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
k nearest neighbours                                                             .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
lbestPSO                                                                         .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
linear regression                                                                .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
logistic regression                                                              .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
minimax                                                                          .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
naive bayes                                                                      .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
neural network                                                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
neural style transfer                                                            .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
nsm matlab                                                                       .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
perceptron                                                                       .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
prewittfilter                                                                    .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
principal component analysis                                                     .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
